session,site,location,landuse,trap,species,abundance,Sex,Stage
3,AW,Vaassen,Forest,1,ANELASMOCEPHALUS_CAMBRIDGEI,1,M,AD
3,F,Vlaardingen,Grassland,2,PHALANGIUM_OPILIO,1,F,AD
3,AB,Nevele,Forest,1,PHALANGIIDAE_SPEC.,2,,JUV
3,AB,Nevele,Forest,1,NEMASTOMA_BIMACULATUM,2,M,AD
3,AB,Nevele,Forest,1,NEMASTOMA_BIMACULATUM,1,F,AD
3,AB,Nevele,Forest,1,NEMASTOMA_LUGUBRE,1,M,AD
4,AD,Houthulst,Food_forest,1,NEMASTOMA_BIMACULATUM,1,F,AD
4,AD,Houthulst,Food_forest,1,NEMASTOMA_BIMACULATUM,1,M,AD
4,AF,Houthulst,Forest,1,OLIGOLOPHUS_TRIDENS,1,F,AD
4,AF,Houthulst,Forest,1,PHALANGIIDAE_SPEC.,1,,JUV
4,AU,Malden,Forest,2,NEMASTOMA_BIMACULATUM,1,F,AD
4,AD,Houthulst,Food_forest,2,RILAENA_TRIANGULARIS,2,,JUV
4,AD,Houthulst,Food_forest,2,NEMASTOMA_BIMACULATUM,2,F,AD
4,AD,Houthulst,Food_forest,2,NEMASTOMA_LUGUBRE,2,M,AD
4,AD,Houthulst,Food_forest,2,NEMASTOMA_LUGUBRE,1,F,AD
4,Z,Nevele,Food_forest,2,RILAENA_TRIANGULARIS,1,,JUV
4,A,Haarzuilens,Food_forest,2,RILAENA_TRIANGULARIS,1,,JUV
4,A,Haarzuilens,Food_forest,2,OLIGOLOPHUS_TRIDENS,9,F,AD
4,A,Haarzuilens,Food_forest,2,OLIGOLOPHUS_TRIDENS,2,M,AD
4,AK,Rijswijk,Forest,2,LOPHOPILIO_PALPINALIS,2,F,AD
4,AK,Rijswijk,Forest,2,NEMASTOMA_DENTIGERUM,5,F,AD
4,AF,Houthulst,Forest,2,NEMASTOMA_BIMACULATUM,2,F,AD
4,AF,Houthulst,Forest,2,NEMASTOMA_LUGUBRE,2,F,AD
4,AF,Houthulst,Forest,2,OLIGOLOPHUS_TRIDENS,1,M,AD
4,AF,Houthulst,Forest,2,OLIGOLOPHUS_TRIDENS,2,F,AD
4,AF,Houthulst,Forest,2,TROGULUS_CLOSANISCUS,1,M,AD
4,Z,Nevele,Food_forest,1,RILAENA_TRIANGULARIS,1,,JUV
4,AH,Rijswijk,Grassland,2,OLIGOLOPHUS_TRIDENS,1,F,AD
2,AF,Houthulst,Forest,1,PHALANGIIDAE_SPEC.,3,,JUV
2,AF,Houthulst,Forest,1,PARANEMASTOMA_QUADRIPUNCTATUM,1,,JUV
3,S,Sint-Truiden,Arable_field,1,LACINIUS_EPHIPPIATUS,19,F,AD
3,S,Sint-Truiden,Arable_field,1,LACINIUS_EPHIPPIATUS,8,M,AD
3,S,Sint-Truiden,Arable_field,1,LACINIUS_EPHIPPIATUS,2,,JUV
3,Z,Nevele,Food_forest,2,NEMASTOMA_BIMACULATUM,1,M,AD
3,AF,Houthulst,Forest,2,LACINIUS_EPHIPPIATUS,1,M,AD
3,AF,Houthulst,Forest,2,LOPHOPILIO_PALPINALIS,1,,JUV
3,AF,Houthulst,Forest,2,PAROLIGOLOPHUS_AGRESTIS,1,,JUV
1,AU,Malden,Forest,2,NEMASTOMA_BIMACULATUM,1,M,AD
1,AU,Malden,Forest,1,MITOSTOMA_CHRYSOMELAS,1,F,AD
1,AW,Vaassen,Forest,1,RILAENA_TRIANGULARIS,1,,JUV
2,AB,Nevele,Forest,2,NEMASTOMA_LUGUBRE,1,F,AD
2,AK,Rijswijk,Forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
2,AK,Rijswijk,Forest,2,NEMASTOMA_DENTIGERUM,1,F,AD
2,AK,Rijswijk,Forest,2,NEMASTOMATIDAE_SPEC.,1,,JUV
2,AK,Rijswijk,Forest,2,PHALANGIIDAE_SPEC.,3,,JUV
2,AU,Malden,Forest,1,PHALANGIIDAE_SPEC.,1,,JUV
2,W,Swalmen,Forest,2,RILAENA_TRIANGULARIS,1,M,AD
2,F,Vlaardingen,Grassland,1,RILAENA_TRIANGULARIS,6,M,AD
2,F,Vlaardingen,Grassland,1,RILAENA_TRIANGULARIS,1,F,AD
2,X,Swalmen,Grassland,2,PHALANGIIDAE_SPEC.,1,,JUV
2,I,Boelenslaan,Grassland,2,NEMASTOMA_DENTIGERUM,1,M,AD
2,V,Amsterdam,Forest,2,NEMASTOMA_DENTIGERUM,2,F,AD
2,V,Amsterdam,Forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
2,V,Amsterdam,Forest,2,RILAENA_TRIANGULARIS,1,M,AD
2,AZ,Vaassen,Arable_field,1,RILAENA_TRIANGULARIS,1,F,AD
2,AZ,Vaassen,Arable_field,1,PHALANGIIDAE_SPEC.,1,,JUV
2,C,Haarzuilens,Forest,1,PHALANGIIDAE_SPEC.,1,,JUV
1,F,Vlaardingen,Grassland,2,RILAENA_TRIANGULARIS,1,F,AD
2,AB,Nevele,Forest,1,RILAENA_TRIANGULARIS,1,M,AD
2,AB,Nevele,Forest,1,MITOSTOMA_CHRYSOMELAS,1,M,AD
2,AB,Nevele,Forest,1,MITOSTOMA_CHRYSOMELAS,1,F,AD
2,V,Amsterdam,Forest,1,RILAENA_TRIANGULARIS,1,M,AD
2,V,Amsterdam,Forest,1,NEMASTOMA_DENTIGERUM,5,M,AD
2,V,Amsterdam,Forest,1,NEMASTOMA_DENTIGERUM,1,F,AD
2,AD,Houthulst,Food_forest,1,NEMASTOMATIDAE_SPEC.,1,,JUV
2,AQ,Etten-Leur,Forest,1,RILAENA_TRIANGULARIS,1,M,AD
2,AQ,Etten-Leur,Forest,1,RILAENA_TRIANGULARIS,1,F,AD
2,H,Boelenslaan,Food_forest,2,PHALANGIIDAE_SPEC.,12,,JUV
2,Q,Sint-Truiden,Forest,2,TROGULUS_CLOSANISCUS,1,M,AD
2,P,Sint-Truiden,Food_forest,2,RILAENA_TRIANGULARIS,1,,JUV
2,P,Sint-Truiden,Food_forest,2,PHALANGIIDAE_SPEC.,2,,JUV
2,P,Sint-Truiden,Food_forest,2,HOMALENOTUS_QUADRIDENTATUS,2,M,AD
3,AD,Houthulst,Food_forest,1,HOMALENOTUS_QUADRIDENTATUS,1,M,AD
3,AD,Houthulst,Food_forest,1,NEMASTOMA_BIMACULATUM,1,M,AD
3,AD,Houthulst,Food_forest,1,NEMASTOMA_BIMACULATUM,1,F,AD
3,E,Vlaardingen,Forest,1,PHALANGIIDAE_SPEC.,1,,JUV
3,E,Vlaardingen,Forest,2,PHALANGIIDAE_SPEC.,2,,JUV
3,J,Boelenslaan,Food_forest,1,PHALANGIIDAE_SPEC.,4,,JUV
3,AB,Nevele,Forest,2,NEMASTOMA_BIMACULATUM,2,M,AD
3,AB,Nevele,Forest,2,NEMASTOMA_LUGUBRE,1,M,AD
3,AB,Nevele,Forest,2,MITOSTOMA_CHRYSOMELAS,2,M,AD
3,AB,Nevele,Forest,2,MITOSTOMA_CHRYSOMELAS,1,F,AD
1,B,Haarzuilens,Grassland,1,NEMASTOMA_DENTIGERUM,1,F,AD
3,AL,Oostwaard,Grassland,2,PHALANGIIDAE_SPEC.,1,,JUV
3,AF,Houthulst,Forest,1,NEMASTOMA_BIMACULATUM,1,M,AD
3,AF,Houthulst,Forest,1,PHALANGIIDAE_SPEC.,13,,JUV
3,AF,Houthulst,Forest,1,LACINIUS_EPHIPPIATUS,6,F,AD
3,AF,Houthulst,Forest,1,LACINIUS_EPHIPPIATUS,8,M,AD
2,AO,Etten-Leur,Food_forest,1,PHALANGIIDAE_SPEC.,2,,JUV
2,U,Amsterdam,Food_forest,1,RILAENA_TRIANGULARIS,1,F,AD
2,I,Boelenslaan,Grassland,1,PHALANGIIDAE_SPEC.,7,,JUV
2,H,Boelenslaan,Food_forest,1,PHALANGIIDAE_SPEC.,2,,JUV
2,J,Boelenslaan,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
2,J,Boelenslaan,Food_forest,2,RILAENA_TRIANGULARIS,1,F,AD
2,AN,Oostwaard,Food_forest,1,PHALANGIIDAE_SPEC.,2,,JUV
1,Y,Swalmen,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
2,AT,Malden,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
2,U,Amsterdam,Food_forest,2,PHALANGIIDAE_SPEC.,2,,JUV
2,U,Amsterdam,Food_forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
2,AF,Houthulst,Forest,2,PHALANGIIDAE_SPEC.,10,,JUV
2,AF,Houthulst,Forest,2,HOMALENOTUS_QUADRIDENTATUS,1,M,AD
1,AF,Houthulst,Forest,1,TROGULUS_CLOSANISCUS,2,M,AD
1,AB,Nevele,Forest,1,PHALANGIIDAE_SPEC.,3,,JUV
1,AB,Nevele,Forest,1,RILAENA_TRIANGULARIS,1,F,AD
1,AB,Nevele,Forest,1,NEMASTOMA_LUGUBRE,1,M,AD
2,S,Sint-Truiden,Arable_field,1,PHALANGIIDAE_SPEC.,1,,JUV
2,Q,Sint-Truiden,Forest,1,NEMASTOMA_LUGUBRE,1,F,AD
1,U,Amsterdam,Food_forest,1,PHALANGIIDAE_SPEC.,1,,JUV
1,U,Amsterdam,Food_forest,1,NEMASTOMA_DENTIGERUM,2,M,AD
1,U,Amsterdam,Food_forest,1,NEMASTOMA_DENTIGERUM,1,F,AD
1,E,Vlaardingen,Forest,1,PHALANGIIDAE_SPEC.,2,,JUV
1,E,Vlaardingen,Forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
1,J,Boelenslaan,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
1,AD,Houthulst,Food_forest,1,NEMASTOMA_SPEC.,3,,JUV
1,AD,Houthulst,Food_forest,1,NEMASTOMA_BIMACULATUM,1,M,AD
1,AD,Houthulst,Food_forest,1,NEMASTOMA_LUGUBRE,1,F,AD
1,U,Amsterdam,Food_forest,2,NEMASTOMA_SPEC.,1,,JUV
1,U,Amsterdam,Food_forest,2,NEMASTOMA_DENTIGERUM,5,M,AD
1,U,Amsterdam,Food_forest,2,NEMASTOMA_DENTIGERUM,1,F,AD
4,A,Haarzuilens,Food_forest,1,RILAENA_TRIANGULARIS,3,,JUV
4,A,Haarzuilens,Food_forest,1,PHALANGIIDAE_SPEC.,1,,JUV
4,A,Haarzuilens,Food_forest,1,OLIGOLOPHUS_TRIDENS,1,F,AD
4,AJ,Rijswijk,Arable_field,2,RILAENA_TRIANGULARIS,1,,JUV
4,AK,Rijswijk,Forest,1,OLIGOLOPHUS_TRIDENS,3,F,AD
4,AK,Rijswijk,Forest,1,LOPHOPILIO_PALPINALIS,6,,JUV
4,V,Amsterdam,Forest,2,NEMASTOMA_DENTIGERUM,1,F,AD
4,V,Amsterdam,Forest,2,OLIGOLOPHUS_TRIDENS,1,M,AD
4,G,Vlaardingen,Food_forest,1,RILAENA_TRIANGULARIS,1,,JUV
4,G,Vlaardingen,Food_forest,1,OLIGOLOPHUS_TRIDENS,4,F,AD
4,E,Vlaardingen,Forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
4,AP,Etten-Leur,Grassland,1,PHALANGIUM_OPILIO,1,F,AD
4,AP,Etten-Leur,Grassland,1,PHALANGIIDAE_SPEC.,1,,JUV
