code,site,location,landuse,species,abundance,biomass
VB011,B,Haarzuilens,Grassland,broken,17,1.07
VB011,B,Haarzuilens,Grassland,juvenile_pigment,35,4
VB011,B,Haarzuilens,Grassland,juvenile_nopigment,12,2.15
VB013,C,Haarzuilens,Forest,broken,4,0.28
VB013,C,Haarzuilens,Forest,juvenile_nopigment,16,1.21
VB013,C,Haarzuilens,Forest,Aporrectodea_caliginosa,2,0.67
VB015,C,Haarzuilens,Forest,juvenile_pigment,9,0.58
VB015,C,Haarzuilens,Forest,juvenile_nopigment,20,1.53
VB015,C,Haarzuilens,Forest,broken,9,0.49
VB015,C,Haarzuilens,Forest,head,2,NA
VB015,C,Haarzuilens,Forest,Lumbricus_castaneus,3,0.47
VB015,C,Haarzuilens,Forest,Aporrectodea_caliginosa,7,2.18
VB015,C,Haarzuilens,Forest,Aporrectodea_cupulifera,3,0.34
VB015,C,Haarzuilens,Forest,Aporrectodea_rosea,6,0.58
VB017,C,Haarzuilens,Forest,Aporrectodea_rosea,5,0.56
VB017,C,Haarzuilens,Forest,Lumbricus_castaneus,1,0.16
VB017,C,Haarzuilens,Forest,juvenile_pigment,1,0.08
VB017,C,Haarzuilens,Forest,Aporrectodea_cupulifera,3,0.49
VB017,C,Haarzuilens,Forest,Aporrectodea_caliginosa,10,3.02
VB017,C,Haarzuilens,Forest,juvenile_nopigment,20,2.57
VB025,E,Vlaardingen,Forest,juvenile_pigment,3,1.83
VB025,E,Vlaardingen,Forest,Aporrectodea_rosea,2,0.23
VB025,E,Vlaardingen,Forest,Aporrectodea_caliginosa,1,0.29
VB025,E,Vlaardingen,Forest,juvenile_nopigment,8,0.4
VB025,E,Vlaardingen,Forest,Lumbricus_terrestris,2,6.29
VB025,E,Vlaardingen,Forest,broken,6,0.29
VB025,E,Vlaardingen,Forest,Allolobophora_chlorotica,1,0.18
VB027,E,Vlaardingen,Forest,Allolobophora_chlorotica,1,0.18
VB027,E,Vlaardingen,Forest,juvenile_nopigment,7,0.41
VB027,E,Vlaardingen,Forest,Aporrectodea_caliginosa,4,1.08
VB027,E,Vlaardingen,Forest,broken,2,0.27
VB027,E,Vlaardingen,Forest,juvenile_pigment,22,2.16
VB027,E,Vlaardingen,Forest,Lumbricus_castaneus,1,0.15
VB029,E,Vlaardingen,Forest,Lumbricus_terrestris,1,4.62
VB029,E,Vlaardingen,Forest,juvenile_nopigment,15,0.8
VB029,E,Vlaardingen,Forest,juvenile_pigment,3,1.18
VB029,E,Vlaardingen,Forest,Aporrectodea_rosea,6,1.24
VB029,E,Vlaardingen,Forest,broken,4,0.34
VB029,E,Vlaardingen,Forest,head,1,NA
VB031,F,Vlaardingen,Grassland,Lumbricus_terrestris,1,0.59
VB031,F,Vlaardingen,Grassland,juvenile_nopigment,19,0.92
VB031,F,Vlaardingen,Grassland,Aporrectodea_caliginosa,5,1.95
VB031,F,Vlaardingen,Grassland,broken,6,0.41
VB031,F,Vlaardingen,Grassland,Aporrectodea_rosea,3,0.65
VB033,F,Vlaardingen,Grassland,broken,11,1.79
VB033,F,Vlaardingen,Grassland,juvenile_nopigment,30,2.42
VB033,F,Vlaardingen,Grassland,juvenile_pigment,7,0.38
VB033,F,Vlaardingen,Grassland,Aporrectodea_caliginosa,14,5.66
VB033,F,Vlaardingen,Grassland,Aporrectodea_rosea,3,0.74
VB033,F,Vlaardingen,Grassland,Lumbricus_rubellus,4,1.96
VB035,F,Vlaardingen,Grassland,Aporrectodea_caliginosa,4,1.58
VB035,F,Vlaardingen,Grassland,Aporrectodea_rosea,2,0.28
VB035,F,Vlaardingen,Grassland,broken,1,0
VB035,F,Vlaardingen,Grassland,Lumbricus_castaneus,2,0.26
VB035,F,Vlaardingen,Grassland,juvenile_pigment,7,1.3
VB035,F,Vlaardingen,Grassland,juvenile_nopigment,4,0.14
VB037,G,Vlaardingen,Food_forest,Lumbricus_castaneus,2,0.25
VB037,G,Vlaardingen,Food_forest,Aporrectodea_rosea,1,0.13
VB037,G,Vlaardingen,Food_forest,Aporrectodea_caliginosa,2,0.58
VB037,G,Vlaardingen,Food_forest,juvenile_pigment,9,0.44
VB037,G,Vlaardingen,Food_forest,broken,2,0.24
VB037,G,Vlaardingen,Food_forest,juvenile_nopigment,8,0.5
VB039,G,Vlaardingen,Food_forest,broken,3,0.13
VB039,G,Vlaardingen,Food_forest,juvenile_pigment,1,NA
VB039,G,Vlaardingen,Food_forest,juvenile_nopigment,4,0.42
VB039,G,Vlaardingen,Food_forest,Dendrobaena_octaedra,2,0.16
VB041,G,Vlaardingen,Food_forest,Dendrobaena_octaedra,2,0.24
VB041,G,Vlaardingen,Food_forest,Allolobophora_chlorotica,1,0.22
VB041,G,Vlaardingen,Food_forest,broken,2,0.03
VB041,G,Vlaardingen,Food_forest,juvenile_nopigment,4,0.22
VB049,I,Boelenslaan,Grassland,Aporrectodea_caliginosa,6,5.92
VB049,I,Boelenslaan,Grassland,broken,5,1.73
VB049,I,Boelenslaan,Grassland,head,1,NA
VB049,I,Boelenslaan,Grassland,juvenile_nopigment,15,5.08
VB049,I,Boelenslaan,Grassland,juvenile_pigment,3,1.43
VB051,I,Boelenslaan,Grassland,Lumbricus_terrestris,1,3.73
VB051,I,Boelenslaan,Grassland,broken,8,2.59
VB051,I,Boelenslaan,Grassland,Aporrectodea_caliginosa,11,9.62
VB051,I,Boelenslaan,Grassland,juvenile_nopigment,25,10.63
VB053,I,Boelenslaan,Grassland,Lumbricus_terrestris,1,3.53
VB053,I,Boelenslaan,Grassland,Aporrectodea_caliginosa,3,3.33
VB053,I,Boelenslaan,Grassland,broken,5,0.99
VB053,I,Boelenslaan,Grassland,juvenile_pigment,5,2.17
VB053,I,Boelenslaan,Grassland,juvenile_nopigment,31,10.4
VB073,M,Groesbeek,Forest,Aporrectodea_caliginosa,1,0.65
VB073,M,Groesbeek,Forest,juvenile_pigment,7,1.82
VB073,M,Groesbeek,Forest,juvenile_nopigment,15,0.22
VB073,M,Groesbeek,Forest,broken,3,2.89
VB073,M,Groesbeek,Forest,Lumbricus_castaneus,1,0.54
VB075,M,Groesbeek,Forest,broken,2,0.29
VB075,M,Groesbeek,Forest,head,1,NA
VB075,M,Groesbeek,Forest,juvenile_nopigment,8,1.08
VB075,M,Groesbeek,Forest,juvenile_pigment,2,0.57
VB077,M,Groesbeek,Forest,empty,NA,NA
VB085,O,Groesbeek,Food_forest,Aporrectodea_caliginosa,2,0.3
VB085,O,Groesbeek,Food_forest,Lumbricus_castaneus,4,0.7
VB085,O,Groesbeek,Food_forest,broken,5,0.16
VB085,O,Groesbeek,Food_forest,Aporrectodea_rosea,2,0.19
VB085,O,Groesbeek,Food_forest,juvenile_nopigment,14,0.99
VB087,O,Groesbeek,Food_forest,Lumbricus_rubellus,2,1.46
VB087,O,Groesbeek,Food_forest,broken,5,0.7
VB087,O,Groesbeek,Food_forest,juvenile_pigment,10,1.58
VB087,O,Groesbeek,Food_forest,juvenile_nopigment,20,0.96
VB087,O,Groesbeek,Food_forest,Lumbricus_castaneus,3,0.27
VB087,O,Groesbeek,Food_forest,Aporrectodea_rosea,3,0.31
VB087,O,Groesbeek,Food_forest,Aporrectodea_caliginosa,2,0.31
VB089,O,Groesbeek,Food_forest,broken,8,1.07
VB089,O,Groesbeek,Food_forest,Aporrectodea_rosea,3,0.59
VB089,O,Groesbeek,Food_forest,juvenile_nopigment,16,3.02
VB089,O,Groesbeek,Food_forest,Lumbricus_rubellus,4,3.64
VB089,O,Groesbeek,Food_forest,juvenile_pigment,1,NA
VB089,O,Groesbeek,Food_forest,Lumbricus_castaneus,16,0.86
VB089,O,Groesbeek,Food_forest,Aporrectodea_caliginosa,4,1.23
VB091,P,Sint-Truiden,Food_forest,juvenile_nopigment,20,3.03
VB091,P,Sint-Truiden,Food_forest,juvenile_pigment,2,2.47
VB091,P,Sint-Truiden,Food_forest,Aporrectodea_rosea,3,0.65
VB091,P,Sint-Truiden,Food_forest,Lumbricus_terrestris,2,4.75
VB091,P,Sint-Truiden,Food_forest,broken,3,0.57
VB091,P,Sint-Truiden,Food_forest,Aporrectodea_caliginosa,3,1.16
VB093,P,Sint-Truiden,Food_forest,juvenile_nopigment,21,3.38
VB093,P,Sint-Truiden,Food_forest,Lumbricus_castaneus,1,0.12
VB093,P,Sint-Truiden,Food_forest,juvenile_pigment,7,6.48
VB093,P,Sint-Truiden,Food_forest,Lumbricus_terrestris,2,4.97
VB093,P,Sint-Truiden,Food_forest,broken,3,0.19
VB093,P,Sint-Truiden,Food_forest,Aporrectodea_caliginosa,5,1.9
VB093,P,Sint-Truiden,Food_forest,Aporrectodea_rosea,1,0.2
VB093,P,Sint-Truiden,Food_forest,Octolasion_cyaneum,1,0.8
VB095,P,Sint-Truiden,Food_forest,Lumbricus_terrestris,1,0.89
VB095,P,Sint-Truiden,Food_forest,broken,16,1.54
VB095,P,Sint-Truiden,Food_forest,Aporrectodea_rosea,2,0.3
VB095,P,Sint-Truiden,Food_forest,Aporrectodea_caliginosa,5,2.02
VB095,P,Sint-Truiden,Food_forest,Lumbricus_castaneus,1,0.1
VB095,P,Sint-Truiden,Food_forest,Allolobophora_chlorotica,1,0.11
VB095,P,Sint-Truiden,Food_forest,juvenile_pigment,5,3.77
VB095,P,Sint-Truiden,Food_forest,juvenile_nopigment,29,4.61
VB097,Q,Sint-Truiden,Forest,empty,NA,NA
VB101,Q,Sint-Truiden,Forest,juvenile_pigment,1,0
VB103,R,Sint-Truiden,Grassland,Aporrectodea_caliginosa,3,1.22
VB103,R,Sint-Truiden,Grassland,broken,3,0.12
VB103,R,Sint-Truiden,Grassland,juvenile_nopigment,36,6
VB105,R,Sint-Truiden,Grassland,Aporrectodea_caliginosa,1,0.43
VB105,R,Sint-Truiden,Grassland,Lumbricus_rubellus,1,0.48
VB105,R,Sint-Truiden,Grassland,juvenile_pigment,6,0.79
VB105,R,Sint-Truiden,Grassland,juvenile_nopigment,73,8.93
VB105,R,Sint-Truiden,Grassland,broken,7,0.66
VB107,R,Sint-Truiden,Grassland,juvenile_pigment,8,0.57
VB107,R,Sint-Truiden,Grassland,juvenile_nopigment,40,4.15
VB107,R,Sint-Truiden,Grassland,Aporrectodea_caliginosa,4,1.06
VB107,R,Sint-Truiden,Grassland,Aporrectodea_rosea,1,0.15
VB107,R,Sint-Truiden,Grassland,broken,1,0.02
VB109,S,Sint-Truiden,Arable_field,juvenile_nopigment,22,3.03
VB109,S,Sint-Truiden,Arable_field,broken,2,0.45
VB109,S,Sint-Truiden,Arable_field,head,1,NA
VB109,S,Sint-Truiden,Arable_field,juvenile_pigment,3,1.62
VB109,S,Sint-Truiden,Arable_field,Aporrectodea_caliginosa,2,0.67
VB109,S,Sint-Truiden,Arable_field,Aporrectodea_limicola,1,0.76
VB111,S,Sint-Truiden,Arable_field,juvenile_nopigment,35,4.53
VB111,S,Sint-Truiden,Arable_field,juvenile_pigment,4,2.23
VB111,S,Sint-Truiden,Arable_field,broken,1,0.24
VB111,S,Sint-Truiden,Arable_field,Allolobophora_chlorotica,3,0.61
VB111,S,Sint-Truiden,Arable_field,Aporrectodea_caliginosa,7,2.8
VB113,S,Sint-Truiden,Arable_field,Aporrectodea_caliginosa,3,1.19
VB113,S,Sint-Truiden,Arable_field,Allolobophora_chlorotica,3,0.58
VB113,S,Sint-Truiden,Arable_field,juvenile_nopigment,27,3.9
VB113,S,Sint-Truiden,Arable_field,broken,5,0.8
VB115,T,Amsterdam,Grassland,Aporrectodea_longa,4,8.36
VB115,T,Amsterdam,Grassland,Lumbricus_rubellus,1,0.79
VB115,T,Amsterdam,Grassland,Lumbricus_castaneus,1,0.16
VB115,T,Amsterdam,Grassland,Aporrectodea_caliginosa,18,8.33
VB115,T,Amsterdam,Grassland,Allolobophora_chlorotica,2,0.43
VB115,T,Amsterdam,Grassland,broken,22,5.02
VB115,T,Amsterdam,Grassland,head,6,NA
VB115,T,Amsterdam,Grassland,juvenile_pigment,23,3.78
VB115,T,Amsterdam,Grassland,juvenile_nopigment,15,1
VB117,T,Amsterdam,Grassland,juvenile_pigment,9,1.96
VB117,T,Amsterdam,Grassland,juvenile_nopigment,13,1.67
VB117,T,Amsterdam,Grassland,broken,5,0.55
VB117,T,Amsterdam,Grassland,Aporrectodea_caliginosa,5,2.18
VB117,T,Amsterdam,Grassland,Aporrectodea_longa,4,7.86
VB119,T,Amsterdam,Grassland,Aporrectodea_caliginosa,21,10.91
VB119,T,Amsterdam,Grassland,Allolobophora_chlorotica,7,1.71
VB119,T,Amsterdam,Grassland,Aporrectodea_rosea,2,0.47
VB119,T,Amsterdam,Grassland,juvenile_pigment,16,3.2
VB119,T,Amsterdam,Grassland,juvenile_nopigment,13,2.92
VB119,T,Amsterdam,Grassland,Aporrectodea_longa,1,1.24
VB119,T,Amsterdam,Grassland,Lumbricus_rubellus,6,4.17
VB119,T,Amsterdam,Grassland,broken,12,3.8
VB121,U,Amsterdam,Food_forest,Lumbricus_castaneus,4,0.66
VB121,U,Amsterdam,Food_forest,broken,1,0
VB121,U,Amsterdam,Food_forest,Aporrectodea_caliginosa,5,2.34
VB121,U,Amsterdam,Food_forest,juvenile_nopigment,6,0.74
VB123,U,Amsterdam,Food_forest,Lumbricus_castaneus,1,0.12
VB123,U,Amsterdam,Food_forest,Aporrectodea_caliginosa,5,2.58
VB123,U,Amsterdam,Food_forest,juvenile_nopigment,1,0.19
VB123,U,Amsterdam,Food_forest,broken,1,0.1
VB123,U,Amsterdam,Food_forest,juvenile_pigment,5,0.73
VB125,U,Amsterdam,Food_forest,Aporrectodea_caliginosa,6,3.47
VB125,U,Amsterdam,Food_forest,juvenile_pigment,1,0.19
VB125,U,Amsterdam,Food_forest,juvenile_nopigment,7,0.87
VB125,U,Amsterdam,Food_forest,Lumbricus_castaneus,2,0.31
VB127,V,Amsterdam,Forest,Aporrectodea_caliginosa,8,2.75
VB127,V,Amsterdam,Forest,Lumbricus_castaneus,1,0.15
VB127,V,Amsterdam,Forest,juvenile_pigment,1,0.14
VB127,V,Amsterdam,Forest,juvenile_nopigment,26,2.99
VB129,V,Amsterdam,Forest,Aporrectodea_rosea,3,0.42
VB129,V,Amsterdam,Forest,Aporrectodea_caliginosa,2,0.49
VB129,V,Amsterdam,Forest,juvenile_nopigment,19,1.43
VB131,V,Amsterdam,Forest,Aporrectodea_caliginosa,10,3.75
VB131,V,Amsterdam,Forest,broken,12,0.81
VB131,V,Amsterdam,Forest,juvenile_pigment,6,1.08
VB131,V,Amsterdam,Forest,juvenile_nopigment,26,3.92
VB131,V,Amsterdam,Forest,Lumbricus_rubellus,3,1.7
VB131,V,Amsterdam,Forest,Lumbricus_castaneus,2,0.34
VB133,W,Swalmen,Forest,Lumbricus_rubellus,1,0.76
VB133,W,Swalmen,Forest,juvenile_pigment,3,0.85
VB135,W,Swalmen,Forest,Aporrectodea_caliginosa,1,1.05
VB135,W,Swalmen,Forest,juvenile_pigment,4,0.23
VB135,W,Swalmen,Forest,juvenile_nopigment,1,0.16
VB137,W,Swalmen,Forest,juvenile_nopigment,2,0.78
VB139,X,Swalmen,Grassland,Lumbricus_rubellus,1,0.42
VB139,X,Swalmen,Grassland,broken,3,0.55
VB139,X,Swalmen,Grassland,juvenile_nopigment,4,0.87
VB139,X,Swalmen,Grassland,Aporrectodea_caliginosa,4,4.12
VB141,X,Swalmen,Grassland,Lumbricus_rubellus,2,1.49
VB141,X,Swalmen,Grassland,broken,1,0.23
VB141,X,Swalmen,Grassland,juvenile_pigment,2,0.29
VB143,X,Swalmen,Grassland,broken,1,0.53
VB143,X,Swalmen,Grassland,juvenile_pigment,1,0.16
VB143,X,Swalmen,Grassland,Aporrectodea_caliginosa,3,2.24
VB145,Y,Swalmen,Food_forest,juvenile_pigment,2,0.16
VB145,Y,Swalmen,Food_forest,juvenile_nopigment,1,0.11
VB147,Y,Swalmen,Food_forest,juvenile_pigment,9,2.49
VB147,Y,Swalmen,Food_forest,juvenile_nopigment,2,0.66
VB149,Y,Swalmen,Food_forest,Aporrectodea_caliginosa,2,3.35
VB149,Y,Swalmen,Food_forest,juvenile_pigment,6,0.34
VB149,Y,Swalmen,Food_forest,juvenile_nopigment,4,0.22
VB151,Z,Nevele,Food_forest,Aporrectodea_caliginosa,4,3.13
VB151,Z,Nevele,Food_forest,juvenile_pigment,4,0.44
VB151,Z,Nevele,Food_forest,Lumbricus_rubellus,1,0.73
VB151,Z,Nevele,Food_forest,Lumbricus_terrestris,1,2.52
VB153,Z,Nevele,Food_forest,juvenile_pigment,9,1.47
VB153,Z,Nevele,Food_forest,Aporrectodea_caliginosa,1,0.46
VB153,Z,Nevele,Food_forest,juvenile_nopigment,2,1.06
VB153,Z,Nevele,Food_forest,broken,1,NA
VB153,Z,Nevele,Food_forest,head,1,NA
VB153,Z,Nevele,Food_forest,Bimastos_rubidus,1,0.1
VB155,Z,Nevele,Food_forest,juvenile_pigment,5,0.69
VB155,Z,Nevele,Food_forest,Lumbricus_rubellus,1,1.13
VB155,Z,Nevele,Food_forest,Aporrectodea_caliginosa,1,0.55
VB155,Z,Nevele,Food_forest,juvenile_nopigment,1,0.74
VB157,AA,Nevele,Arable_field,juvenile_nopigment,15,1.79
VB157,AA,Nevele,Arable_field,Allolobophora_chlorotica,1,0.24
VB157,AA,Nevele,Arable_field,broken,11,2.15
VB157,AA,Nevele,Arable_field,Aporrectodea_caliginosa,8,4.85
VB157,AA,Nevele,Arable_field,Aporrectodea_longa,1,0.93
VB159,AA,Nevele,Arable_field,Allolobophora_chlorotica,2,0.42
VB159,AA,Nevele,Arable_field,juvenile_nopigment,18,2.64
VB159,AA,Nevele,Arable_field,broken,5,0.53
VB159,AA,Nevele,Arable_field,head,1,NA
VB159,AA,Nevele,Arable_field,Aporrectodea_caliginosa,7,3.63
VB159,AA,Nevele,Arable_field,Aporrectodea_longa,1,0.73
VB161,AA,Nevele,Arable_field,Allolobophora_chlorotica,8,2.02
VB161,AA,Nevele,Arable_field,broken,2,0.27
VB161,AA,Nevele,Arable_field,juvenile_nopigment,3,0.13
VB163,AB,Nevele,Forest,Aporrectodea_caliginosa,2,0.97
VB163,AB,Nevele,Forest,juvenile_pigment,1,0
VB163,AB,Nevele,Forest,juvenile_nopigment,5,0.5
VB163,AB,Nevele,Forest,Lumbricus_rubellus,3,1.83
VB163,AB,Nevele,Forest,Allolobophora_chlorotica,7,1.44
VB165,AB,Nevele,Forest,juvenile_nopigment,3,0.37
VB165,AB,Nevele,Forest,juvenile_pigment,1,0.03
VB165,AB,Nevele,Forest,Aporrectodea_caliginosa,1,0.85
VB167,AB,Nevele,Forest,Aporrectodea_caliginosa,6,4.54
VB167,AB,Nevele,Forest,Lumbricus_rubellus,4,3.06
VB167,AB,Nevele,Forest,broken,6,1.28
VB167,AB,Nevele,Forest,juvenile_nopigment,2,0.69
VB167,AB,Nevele,Forest,juvenile_pigment,4,1.71
VB169,AC,Nevele,Grassland,Aporrectodea_longa,2,3.15
VB169,AC,Nevele,Grassland,juvenile_pigment,2,3.09
VB169,AC,Nevele,Grassland,Aporrectodea_caliginosa,2,1.18
VB169,AC,Nevele,Grassland,juvenile_nopigment,1,0.24
VB171,AC,Nevele,Grassland,Lumbricus_terrestris,2,6.45
VB171,AC,Nevele,Grassland,Lumbricus_rubellus,2,2.29
VB171,AC,Nevele,Grassland,broken,2,0.43
VB171,AC,Nevele,Grassland,Aporrectodea_caliginosa,5,1.99
VB171,AC,Nevele,Grassland,Allolobophora_chlorotica,1,0.29
VB171,AC,Nevele,Grassland,juvenile_pigment,4,1.81
VB171,AC,Nevele,Grassland,juvenile_nopigment,3,0.29
VB173,AC,Nevele,Grassland,Allolobophora_chlorotica,1,0.28
VB173,AC,Nevele,Grassland,juvenile_pigment,4,0.97
VB173,AC,Nevele,Grassland,broken,3,0.18
VB173,AC,Nevele,Grassland,juvenile_nopigment,6,0.35
VB173,AC,Nevele,Grassland,Aporrectodea_caliginosa,3,0.98
VB175,AD,Houthulst,Food_forest,juvenile_nopigment,10,2.39
VB175,AD,Houthulst,Food_forest,juvenile_pigment,7,0.43
VB175,AD,Houthulst,Food_forest,Aporrectodea_caliginosa,2,0.81
VB175,AD,Houthulst,Food_forest,Aporrectodea_rosea,1,0.1
VB175,AD,Houthulst,Food_forest,Lumbricus_rubellus,3,2.07
VB175,AD,Houthulst,Food_forest,broken,1,0.3
VB175,AD,Houthulst,Food_forest,Aporrectodea_limicola,4,1.35
VB177,AD,Houthulst,Food_forest,Aporrectodea_caliginosa,1,0.32
VB177,AD,Houthulst,Food_forest,broken,1,0.09
VB177,AD,Houthulst,Food_forest,juvenile_pigment,3,0.5
VB177,AD,Houthulst,Food_forest,juvenile_nopigment,10,1.69
VB179,AD,Houthulst,Food_forest,juvenile_nopigment,2,0.2
VB181,AE,Houthulst,Grassland,Aporrectodea_caliginosa,5,2.54
VB181,AE,Houthulst,Grassland,Lumbricus_rubellus,1,1.72
VB181,AE,Houthulst,Grassland,Aporrectodea_rosea,1,0.24
VB181,AE,Houthulst,Grassland,broken,11,3.18
VB181,AE,Houthulst,Grassland,head,2,NA
VB181,AE,Houthulst,Grassland,juvenile_pigment,2,0.57
VB181,AE,Houthulst,Grassland,juvenile_nopigment,7,1.01
VB183,AE,Houthulst,Grassland,Aporrectodea_caliginosa,3,1.58
VB183,AE,Houthulst,Grassland,Aporrectodea_rosea,2,0.23
VB183,AE,Houthulst,Grassland,juvenile_nopigment,13,2.13
VB183,AE,Houthulst,Grassland,juvenile_pigment,5,0.33
VB185,AE,Houthulst,Grassland,juvenile_nopigment,8,0.67
VB185,AE,Houthulst,Grassland,Aporrectodea_caliginosa,2,0.88
VB185,AE,Houthulst,Grassland,broken,5,1.76
VB185,AE,Houthulst,Grassland,juvenile_pigment,3,0.33
VB185,AE,Houthulst,Grassland,Aporrectodea_rosea,6,1.01
VB185,AE,Houthulst,Grassland,Lumbricus_terrestris,1,1.38
VB187,AF,Houthulst,Forest,empty,NA,NA
VB189,AF,Houthulst,Forest,Aporrectodea_caliginosa,2,1.13
VB189,AF,Houthulst,Forest,juvenile_pigment,2,NA
VB191,AF,Houthulst,Forest,Dendrobaena_octaedra,1,0.08
VB193,AG,Houthulst,Arable_field,Allolobophora_chlorotica,6,1.27
VB193,AG,Houthulst,Arable_field,Aporrectodea_caliginosa,1,0.35
VB193,AG,Houthulst,Arable_field,juvenile_pigment,3,0.75
VB193,AG,Houthulst,Arable_field,juvenile_nopigment,11,1.21
VB193,AG,Houthulst,Arable_field,broken,3,0.21
VB193,AG,Houthulst,Arable_field,head,1,NA
VB195,AG,Houthulst,Arable_field,Allolobophora_chlorotica,6,1.26
VB195,AG,Houthulst,Arable_field,Aporrectodea_caliginosa,1,0.35
VB195,AG,Houthulst,Arable_field,juvenile_pigment,2,0.45
VB195,AG,Houthulst,Arable_field,juvenile_nopigment,11,1.2
VB195,AG,Houthulst,Arable_field,broken,3,0.21
VB197,AG,Houthulst,Arable_field,Allolobophora_chlorotica,1,0.17
VB197,AG,Houthulst,Arable_field,Aporrectodea_caliginosa,2,1.08
VB197,AG,Houthulst,Arable_field,Lumbricus_terrestris,1,1.51
VB197,AG,Houthulst,Arable_field,broken,1,0.32
VB197,AG,Houthulst,Arable_field,juvenile_pigment,1,0.11
VB197,AG,Houthulst,Arable_field,juvenile_nopigment,6,0.87
VB199,AH,Rijswijk,Grassland,Aporrectodea_caliginosa,4,1.77
VB199,AH,Rijswijk,Grassland,Lumbricus_rubellus,4,3.33
VB199,AH,Rijswijk,Grassland,Allolobophora_chlorotica,7,1.52
VB199,AH,Rijswijk,Grassland,broken,10,0.58
VB199,AH,Rijswijk,Grassland,head,1,NA
VB199,AH,Rijswijk,Grassland,juvenile_pigment,7,0.58
VB199,AH,Rijswijk,Grassland,juvenile_nopigment,47,3.68
VB201,AH,Rijswijk,Grassland,juvenile_nopigment,32,2.45
VB201,AH,Rijswijk,Grassland,Allolobophora_chlorotica,10,1.84
VB201,AH,Rijswijk,Grassland,broken,5,0.47
VB201,AH,Rijswijk,Grassland,Aporrectodea_caliginosa,3,0.99
VB201,AH,Rijswijk,Grassland,juvenile_pigment,6,0.66
VB201,AH,Rijswijk,Grassland,Lumbricus_rubellus,3,1.35
VB203,AH,Rijswijk,Grassland,Allolobophora_chlorotica,2,0.36
VB203,AH,Rijswijk,Grassland,juvenile_nopigment,28,3.33
VB203,AH,Rijswijk,Grassland,juvenile_pigment,9,2.07
VB203,AH,Rijswijk,Grassland,broken,8,0.72
VB203,AH,Rijswijk,Grassland,Aporrectodea_caliginosa,15,4.62
VB203,AH,Rijswijk,Grassland,Aporrectodea_rosea,2,0.22
VB205,AI,Rijswijk,Food_forest,Allolobophora_chlorotica,5,0.64
VB205,AI,Rijswijk,Food_forest,broken,17,1.88
VB205,AI,Rijswijk,Food_forest,juvenile_nopigment,37,3.24
VB205,AI,Rijswijk,Food_forest,juvenile_pigment,15,1.71
VB205,AI,Rijswijk,Food_forest,Aporrectodea_rosea,5,0.64
VB205,AI,Rijswijk,Food_forest,Lumbricus_rubellus,8,3.84
