code,site,location,landuse
D2,D,Haarzuilens,Arable_field
E1,E,Vlaardingen,Forest
E2,E,Vlaardingen,Forest
F1,F,Vlaardingen,Grassland
F2,F,Vlaardingen,Grassland
G1,G,Vlaardingen,Food_forest
G2,G,Vlaardingen,Food_forest
H1,H,Boelenslaan,Food_forest
H2,H,Boelenslaan,Food_forest
I1,I,Boelenslaan,Grassland
I2,I,Boelenslaan,Grassland
J1,J,Boelenslaan,Food_forest
J2,J,Boelenslaan,Food_forest
K1,K,Boelenslaan,Forest
K2,K,Boelenslaan,Forest
L1,L,Groesbeek,Arable_field
L2,L,Groesbeek,Arable_field
M1,M,Groesbeek,Forest
M2,M,Groesbeek,Forest
N1,N,Groesbeek,Grassland
N2,N,Groesbeek,Grassland
O1,O,Groesbeek,Food_forest
O2,O,Groesbeek,Food_forest
P1,P,Sint-Truiden,Food_forest
P2,P,Sint-Truiden,Food_forest
Q1,Q,Sint-Truiden,Forest
Q2,Q,Sint-Truiden,Forest
R1,R,Sint-Truiden,Grassland
R2,R,Sint-Truiden,Grassland
S1,S,Sint-Truiden,Arable_field
S2,S,Sint-Truiden,Arable_field
T1,T,Amsterdam,Grassland
T2,T,Amsterdam,Grassland
U1,U,Amsterdam,Food_forest
U2,U,Amsterdam,Food_forest
V1,V,Amsterdam,Forest
V2,V,Amsterdam,Forest
W1,W,Swalmen,Forest
W2,W,Swalmen,Forest
X1,X,Swalmen,Grassland
X2,X,Swalmen,Grassland
Y1,Y,Swalmen,Food_forest
Y2,Y,Swalmen,Food_forest
Z1,Z,Nevele,Food_forest
Z2,Z,Nevele,Food_forest
AA1,AA,Nevele,Arable_field
AA2,AA,Nevele,Arable_field
AB1,AB,Nevele,Forest
AB2,AB,Nevele,Forest
AC1,AC,Nevele,Grassland
AC2,AC,Nevele,Grassland
AD1,AD,Houthulst,Food_forest
AD2,AD,Houthulst,Food_forest
AE1,AE,Houthulst,Grassland
AE2,AE,Houthulst,Grassland
AF1,AF,Houthulst,Forest
AF2,AF,Houthulst,Forest
AG1,AG,Houthulst,Arable_field
AG2,AG,Houthulst,Arable_field
AH1,AH,Rijswijk,Grassland
AH2,AH,Rijswijk,Grassland
AI1,AI,Rijswijk,Food_forest
AI2,AI,Rijswijk,Food_forest
AJ1,AJ,Rijswijk,Arable_field
AJ2,AJ,Rijswijk,Arable_field
AK1,AK,Rijswijk,Forest
AK2,AK,Rijswijk,Forest
AL1,AL,Oostwaard,Grassland
AL2,AL,Oostwaard,Grassland
AM1,AM,Oostwaard,Forest
AM2,AM,Oostwaard,Forest
AN1,AN,Oostwaard,Food_forest
AN2,AN,Oostwaard,Food_forest
AO1,AO,Etten-Leur,Food_forest
AO2,AO,Etten-Leur,Food_forest
AP1,AP,Etten-Leur,Grassland
AP2,AP,Etten-Leur,Grassland
AQ1,AQ,Etten-Leur,Forest
AQ2,AQ,Etten-Leur,Forest
AR1,AR,Etten-Leur,Arable_field
AR2,AR,Etten-Leur,Arable_field
AS1,AS,Malden,Grassland
AS2,AS,Malden,Grassland
AT1,AT,Malden,Food_forest
AT2,AT,Malden,Food_forest
AU1,AU,Malden,Forest
AU2,AU,Malden,Forest
AV1,AV,Malden,Arable_field
AV2,AV,Malden,Arable_field
AW1,AW,Vaassen,Forest
AW2,AW,Vaassen,Forest
AX1,AX,Vaassen,Food_forest
AX2,AX,Vaassen,Food_forest
AY1,AY,Vaassen,Grassland
AY2,AY,Vaassen,Grassland
AZ1,AZ,Vaassen,Arable_field
AZ2,AZ,Vaassen,Arable_field
