code,site,location,landuse,species,abundance
VB017,C,Haarzuilens,Forest,other,293.21
VB017,C,Haarzuilens,Forest,juvenile,2.59
VB018,C,Haarzuilens,Forest,oribatid,NA
VB018,C,Haarzuilens,Forest,other,NA
VB018,C,Haarzuilens,Forest,juvenile,NA
VB019,D,Haarzuilens,Arable_field,oribatid,38.70
VB019,D,Haarzuilens,Arable_field,other,22.11
VB019,D,Haarzuilens,Arable_field,juvenile,2.76
VB020,D,Haarzuilens,Arable_field,oribatid,NA
VB020,D,Haarzuilens,Arable_field,other,NA
VB020,D,Haarzuilens,Arable_field,juvenile,NA
VB021,D,Haarzuilens,Arable_field,oribatid,22.28
VB021,D,Haarzuilens,Arable_field,other,36.21
VB021,D,Haarzuilens,Arable_field,juvenile,0.00
VB022,D,Haarzuilens,Arable_field,oribatid,NA
VB022,D,Haarzuilens,Arable_field,other,NA
VB022,D,Haarzuilens,Arable_field,juvenile,NA
VB023,D,Haarzuilens,Arable_field,oribatid,33.79
VB023,D,Haarzuilens,Arable_field,other,21.50
VB023,D,Haarzuilens,Arable_field,juvenile,0.00
VB024,D,Haarzuilens,Arable_field,oribatid,NA
VB024,D,Haarzuilens,Arable_field,other,NA
VB024,D,Haarzuilens,Arable_field,juvenile,NA
VB025,E,Vlaardingen,Forest,oribatid,251.57
VB025,E,Vlaardingen,Forest,other,161.88
VB025,E,Vlaardingen,Forest,juvenile,10.94
VB026,E,Vlaardingen,Forest,oribatid,NA
VB026,E,Vlaardingen,Forest,other,NA
VB026,E,Vlaardingen,Forest,juvenile,NA
VB027,E,Vlaardingen,Forest,oribatid,579.93
VB027,E,Vlaardingen,Forest,other,291.47
VB027,E,Vlaardingen,Forest,juvenile,102.16
VB028,E,Vlaardingen,Forest,oribatid,NA
VB028,E,Vlaardingen,Forest,other,NA
VB028,E,Vlaardingen,Forest,juvenile,NA
VB029,E,Vlaardingen,Forest,oribatid,586.56
VB029,E,Vlaardingen,Forest,other,328.58
VB029,E,Vlaardingen,Forest,juvenile,57.03
VB030,E,Vlaardingen,Forest,oribatid,NA
VB030,E,Vlaardingen,Forest,other,NA
VB030,E,Vlaardingen,Forest,juvenile,NA
VB031,F,Vlaardingen,Grassland,oribatid,400.98
VB031,F,Vlaardingen,Grassland,other,391.58
VB031,F,Vlaardingen,Grassland,juvenile,0.00
VB032,F,Vlaardingen,Grassland,oribatid,NA
VB032,F,Vlaardingen,Grassland,other,NA
VB032,F,Vlaardingen,Grassland,juvenile,NA
VB033,F,Vlaardingen,Grassland,oribatid,310.61
VB033,F,Vlaardingen,Grassland,other,320.52
VB033,F,Vlaardingen,Grassland,juvenile,0.00
VB034,F,Vlaardingen,Grassland,oribatid,NA
VB034,F,Vlaardingen,Grassland,other,NA
VB034,F,Vlaardingen,Grassland,juvenile,NA
VB035,F,Vlaardingen,Grassland,oribatid,235.79
VB035,F,Vlaardingen,Grassland,other,434.73
VB035,F,Vlaardingen,Grassland,juvenile,0.00
VB036,F,Vlaardingen,Grassland,oribatid,NA
VB036,F,Vlaardingen,Grassland,other,NA
VB036,F,Vlaardingen,Grassland,juvenile,NA
VB037,G,Vlaardingen,Food_forest,oribatid,115.12
VB037,G,Vlaardingen,Food_forest,other,65.07
VB037,G,Vlaardingen,Food_forest,juvenile,0.00
VB038,G,Vlaardingen,Food_forest,oribatid,NA
VB038,G,Vlaardingen,Food_forest,other,NA
VB038,G,Vlaardingen,Food_forest,juvenile,NA
VB039,G,Vlaardingen,Food_forest,oribatid,780.00
VB039,G,Vlaardingen,Food_forest,other,1393.77
VB039,G,Vlaardingen,Food_forest,juvenile,0.00
VB040,G,Vlaardingen,Food_forest,oribatid,NA
VB040,G,Vlaardingen,Food_forest,other,NA
VB040,G,Vlaardingen,Food_forest,juvenile,NA
VB041,G,Vlaardingen,Food_forest,oribatid,2413.81
VB041,G,Vlaardingen,Food_forest,other,2005.92
VB041,G,Vlaardingen,Food_forest,juvenile,0.00
VB042,G,Vlaardingen,Food_forest,oribatid,NA
VB042,G,Vlaardingen,Food_forest,other,NA
VB042,G,Vlaardingen,Food_forest,juvenile,NA
VB043,H,Boelenslaan1,Food_forest,oribatid,1724.58
VB043,H,Boelenslaan1,Food_forest,other,928.62
VB043,H,Boelenslaan1,Food_forest,juvenile,0.00
VB044,H,Boelenslaan1,Food_forest,oribatid,NA
VB044,H,Boelenslaan1,Food_forest,other,NA
VB044,H,Boelenslaan1,Food_forest,juvenile,NA
VB045,H,Boelenslaan1,Food_forest,oribatid,508.93
VB045,H,Boelenslaan1,Food_forest,other,339.29
VB045,H,Boelenslaan1,Food_forest,juvenile,0.00
VB046,H,Boelenslaan1,Food_forest,oribatid,NA
VB046,H,Boelenslaan1,Food_forest,other,NA
VB046,H,Boelenslaan1,Food_forest,juvenile,NA
VB047,H,Boelenslaan1,Food_forest,oribatid,316.86
VB047,H,Boelenslaan1,Food_forest,other,185.15
VB047,H,Boelenslaan1,Food_forest,juvenile,72.53
VB048,H,Boelenslaan1,Food_forest,oribatid,NA
VB048,H,Boelenslaan1,Food_forest,other,NA
VB048,H,Boelenslaan1,Food_forest,juvenile,NA
VB049,I,Boelenslaan1,Grassland,oribatid,54.17
VB049,I,Boelenslaan1,Grassland,other,106.53
VB049,I,Boelenslaan1,Grassland,juvenile,28.89
VB050,I,Boelenslaan1,Grassland,oribatid,NA
VB050,I,Boelenslaan1,Grassland,other,NA
VB050,I,Boelenslaan1,Grassland,juvenile,NA
VB051,I,Boelenslaan1,Grassland,oribatid,66.42
VB051,I,Boelenslaan1,Grassland,other,334.17
VB051,I,Boelenslaan1,Grassland,juvenile,22.83
VB052,I,Boelenslaan1,Grassland,oribatid,NA
VB052,I,Boelenslaan1,Grassland,other,NA
VB052,I,Boelenslaan1,Grassland,juvenile,NA
VB053,I,Boelenslaan1,Grassland,oribatid,13.14
VB053,I,Boelenslaan1,Grassland,other,36.15
VB053,I,Boelenslaan1,Grassland,juvenile,4.93
VB054,I,Boelenslaan1,Grassland,oribatid,NA
VB054,I,Boelenslaan1,Grassland,other,NA
VB054,I,Boelenslaan1,Grassland,juvenile,NA
VB055,J,Boelenslaan2,Food_forest,oribatid,484.39
VB055,J,Boelenslaan2,Food_forest,other,346.38
VB055,J,Boelenslaan2,Food_forest,juvenile,48.71
VB056,J,Boelenslaan2,Food_forest,oribatid,NA
VB056,J,Boelenslaan2,Food_forest,other,NA
VB056,J,Boelenslaan2,Food_forest,juvenile,NA
VB057,J,Boelenslaan2,Food_forest,oribatid,330.29
VB057,J,Boelenslaan2,Food_forest,other,411.23
VB057,J,Boelenslaan2,Food_forest,juvenile,35.00
VB058,J,Boelenslaan2,Food_forest,oribatid,NA
VB058,J,Boelenslaan2,Food_forest,other,NA
VB058,J,Boelenslaan2,Food_forest,juvenile,NA
VB059,J,Boelenslaan2,Food_forest,oribatid,343.14
VB059,J,Boelenslaan2,Food_forest,other,298.10
VB059,J,Boelenslaan2,Food_forest,juvenile,47.18
VB060,J,Boelenslaan2,Food_forest,oribatid,NA
VB060,J,Boelenslaan2,Food_forest,other,NA
VB060,J,Boelenslaan2,Food_forest,juvenile,NA
VB061,K,Boelenslaan1,Forest,oribatid,1005.32
VB061,K,Boelenslaan1,Forest,other,356.38
VB061,K,Boelenslaan1,Forest,juvenile,29.26
VB062,K,Boelenslaan1,Forest,oribatid,NA
VB062,K,Boelenslaan1,Forest,other,NA
VB062,K,Boelenslaan1,Forest,juvenile,NA
VB063,K,Boelenslaan1,Forest,oribatid,471.23
VB063,K,Boelenslaan1,Forest,other,467.55
VB063,K,Boelenslaan1,Forest,juvenile,14.73
VB064,K,Boelenslaan1,Forest,oribatid,NA
VB064,K,Boelenslaan1,Forest,other,NA
VB064,K,Boelenslaan1,Forest,juvenile,NA
VB065,K,Boelenslaan1,Forest,oribatid,1492.67
VB065,K,Boelenslaan1,Forest,other,121.50
VB065,K,Boelenslaan1,Forest,juvenile,121.50
VB066,K,Boelenslaan1,Forest,oribatid,NA
VB066,K,Boelenslaan1,Forest,other,NA
VB066,K,Boelenslaan1,Forest,juvenile,NA
VB067,L,Groesbeek,Arable_field,oribatid,44.38
VB067,L,Groesbeek,Arable_field,other,22.19
VB067,L,Groesbeek,Arable_field,juvenile,0.00
VB068,L,Groesbeek,Arable_field,oribatid,NA
VB068,L,Groesbeek,Arable_field,other,NA
VB068,L,Groesbeek,Arable_field,juvenile,NA
VB069,L,Groesbeek,Arable_field,oribatid,47.32
VB069,L,Groesbeek,Arable_field,other,49.47
VB069,L,Groesbeek,Arable_field,juvenile,4.30
VB070,L,Groesbeek,Arable_field,oribatid,NA
VB070,L,Groesbeek,Arable_field,other,NA
VB070,L,Groesbeek,Arable_field,juvenile,NA
VB071,L,Groesbeek,Arable_field,oribatid,45.24
VB071,L,Groesbeek,Arable_field,other,34.47
VB071,L,Groesbeek,Arable_field,juvenile,2.15
VB072,L,Groesbeek,Arable_field,oribatid,NA
VB072,L,Groesbeek,Arable_field,other,NA
VB072,L,Groesbeek,Arable_field,juvenile,NA
VB073,M,Groesbeek,Forest,oribatid,1008.37
VB073,M,Groesbeek,Forest,other,101.42
VB073,M,Groesbeek,Forest,juvenile,0.00
VB074,M,Groesbeek,Forest,oribatid,NA
VB074,M,Groesbeek,Forest,other,NA
VB074,M,Groesbeek,Forest,juvenile,NA
VB075,M,Groesbeek,Forest,oribatid,1826.25
VB075,M,Groesbeek,Forest,other,258.69
VB075,M,Groesbeek,Forest,juvenile,34.75
VB076,M,Groesbeek,Forest,oribatid,NA
VB076,M,Groesbeek,Forest,other,NA
VB076,M,Groesbeek,Forest,juvenile,NA
VB077,M,Groesbeek,Forest,oribatid,536.94
VB077,M,Groesbeek,Forest,other,259.81
VB077,M,Groesbeek,Forest,juvenile,86.60
VB078,M,Groesbeek,Forest,oribatid,NA
VB078,M,Groesbeek,Forest,other,NA
VB078,M,Groesbeek,Forest,juvenile,NA
VB081,N,Groesbeek,Grassland,oribatid,69.48
VB081,N,Groesbeek,Grassland,other,273.96
VB081,N,Groesbeek,Grassland,juvenile,9.93
VB082,N,Groesbeek,Grassland,oribatid,NA
VB082,N,Groesbeek,Grassland,other,NA
VB082,N,Groesbeek,Grassland,juvenile,NA
VB083,N,Groesbeek,Grassland,oribatid,172.84
VB083,N,Groesbeek,Grassland,other,436.43
VB083,N,Groesbeek,Grassland,juvenile,0.00
VB084,N,Groesbeek,Grassland,oribatid,NA
VB084,N,Groesbeek,Grassland,other,NA
VB084,N,Groesbeek,Grassland,juvenile,NA
VB085,O,Groesbeek,Food_forest,oribatid,2179.61
VB085,O,Groesbeek,Food_forest,other,569.04
VB085,O,Groesbeek,Food_forest,juvenile,155.19
VB086,O,Groesbeek,Food_forest,oribatid,NA
VB086,O,Groesbeek,Food_forest,other,NA
VB086,O,Groesbeek,Food_forest,juvenile,NA
VB087,O,Groesbeek,Food_forest,oribatid,1257.70
VB087,O,Groesbeek,Food_forest,other,647.90
VB087,O,Groesbeek,Food_forest,juvenile,0.00
VB088,O,Groesbeek,Food_forest,oribatid,NA
VB088,O,Groesbeek,Food_forest,other,NA
VB088,O,Groesbeek,Food_forest,juvenile,NA
VB089,O,Groesbeek,Food_forest,oribatid,315.68
VB089,O,Groesbeek,Food_forest,other,247.79
VB089,O,Groesbeek,Food_forest,juvenile,61.10
VB090,O,Groesbeek,Food_forest,oribatid,NA
VB090,O,Groesbeek,Food_forest,other,NA
VB090,O,Groesbeek,Food_forest,juvenile,NA
VB091,P,Sint-Truiden,Food_forest,oribatid,115.96
VB091,P,Sint-Truiden,Food_forest,other,170.39
VB091,P,Sint-Truiden,Food_forest,juvenile,40.23
VB092,P,Sint-Truiden,Food_forest,oribatid,NA
VB092,P,Sint-Truiden,Food_forest,other,NA
VB092,P,Sint-Truiden,Food_forest,juvenile,NA
VB093,P,Sint-Truiden,Food_forest,oribatid,176.49
VB093,P,Sint-Truiden,Food_forest,other,198.83
VB093,P,Sint-Truiden,Food_forest,juvenile,71.49
VB094,P,Sint-Truiden,Food_forest,oribatid,NA
VB094,P,Sint-Truiden,Food_forest,other,NA
VB094,P,Sint-Truiden,Food_forest,juvenile,NA
VB095,P,Sint-Truiden,Food_forest,oribatid,50.98
VB095,P,Sint-Truiden,Food_forest,other,172.06
VB095,P,Sint-Truiden,Food_forest,juvenile,27.08
VB096,P,Sint-Truiden,Food_forest,oribatid,NA
VB096,P,Sint-Truiden,Food_forest,other,NA
VB096,P,Sint-Truiden,Food_forest,juvenile,NA
VB097,Q,Sint-Truiden,Forest,oribatid,2385.60
VB097,Q,Sint-Truiden,Forest,other,1140.75
VB097,Q,Sint-Truiden,Forest,juvenile,56.39
VB098,Q,Sint-Truiden,Forest,oribatid,NA
VB098,Q,Sint-Truiden,Forest,other,NA
VB098,Q,Sint-Truiden,Forest,juvenile,NA
VB099,Q,Sint-Truiden,Forest,oribatid,1368.68
VB099,Q,Sint-Truiden,Forest,other,1319.36
VB099,Q,Sint-Truiden,Forest,juvenile,308.26
VB100,Q,Sint-Truiden,Forest,oribatid,NA
VB100,Q,Sint-Truiden,Forest,other,NA
VB100,Q,Sint-Truiden,Forest,juvenile,NA
VB101,Q,Sint-Truiden,Forest,oribatid,1027.96
VB101,Q,Sint-Truiden,Forest,other,672.13
VB101,Q,Sint-Truiden,Forest,juvenile,39.54
VB102,Q,Sint-Truiden,Forest,oribatid,NA
VB102,Q,Sint-Truiden,Forest,other,NA
VB102,Q,Sint-Truiden,Forest,juvenile,NA
VB103,R,Sint-Truiden,Grassland,oribatid,383.75
VB103,R,Sint-Truiden,Grassland,other,352.63
VB103,R,Sint-Truiden,Grassland,juvenile,70.01
VB104,R,Sint-Truiden,Grassland,oribatid,NA
VB104,R,Sint-Truiden,Grassland,other,NA
VB104,R,Sint-Truiden,Grassland,juvenile,NA
VB105,R,Sint-Truiden,Grassland,oribatid,114.10
VB105,R,Sint-Truiden,Grassland,other,178.46
VB105,R,Sint-Truiden,Grassland,juvenile,0.00
VB106,R,Sint-Truiden,Grassland,oribatid,NA
VB106,R,Sint-Truiden,Grassland,other,NA
VB106,R,Sint-Truiden,Grassland,juvenile,NA
VB107,R,Sint-Truiden,Grassland,oribatid,299.08
VB107,R,Sint-Truiden,Grassland,other,529.14
VB107,R,Sint-Truiden,Grassland,juvenile,322.08
VB108,R,Sint-Truiden,Grassland,oribatid,NA
VB108,R,Sint-Truiden,Grassland,other,NA
VB108,R,Sint-Truiden,Grassland,juvenile,NA
VB109,S,Sint-Truiden,Arable_field,oribatid,99.97
VB109,S,Sint-Truiden,Arable_field,other,105.68
VB109,S,Sint-Truiden,Arable_field,juvenile,25.71
VB110,S,Sint-Truiden,Arable_field,oribatid,NA
VB110,S,Sint-Truiden,Arable_field,other,NA
VB110,S,Sint-Truiden,Arable_field,juvenile,NA
VB111,S,Sint-Truiden,Arable_field,oribatid,90.06
VB111,S,Sint-Truiden,Arable_field,other,66.64
VB111,S,Sint-Truiden,Arable_field,juvenile,18.01
VB112,S,Sint-Truiden,Arable_field,oribatid,NA
VB112,S,Sint-Truiden,Arable_field,other,NA
VB112,S,Sint-Truiden,Arable_field,juvenile,NA
VB113,S,Sint-Truiden,Arable_field,oribatid,7.97
VB113,S,Sint-Truiden,Arable_field,other,57.76
VB113,S,Sint-Truiden,Arable_field,juvenile,5.98
VB114,S,Sint-Truiden,Arable_field,oribatid,NA
VB114,S,Sint-Truiden,Arable_field,other,NA
VB114,S,Sint-Truiden,Arable_field,juvenile,NA
VB115,T,Amsterdam,Grassland,oribatid,0.00
VB115,T,Amsterdam,Grassland,other,313.30
VB115,T,Amsterdam,Grassland,juvenile,0.00
VB116,T,Amsterdam,Grassland,oribatid,NA
VB116,T,Amsterdam,Grassland,other,NA
VB116,T,Amsterdam,Grassland,juvenile,NA
VB117,T,Amsterdam,Grassland,oribatid,7.84
VB117,T,Amsterdam,Grassland,other,356.53
VB117,T,Amsterdam,Grassland,juvenile,0.00
VB118,T,Amsterdam,Grassland,oribatid,NA
VB118,T,Amsterdam,Grassland,other,NA
VB118,T,Amsterdam,Grassland,juvenile,NA
VB119,T,Amsterdam,Grassland,oribatid,5.08
VB119,T,Amsterdam,Grassland,other,251.35
VB119,T,Amsterdam,Grassland,juvenile,0.00
VB120,T,Amsterdam,Grassland,oribatid,NA
VB120,T,Amsterdam,Grassland,other,NA
VB120,T,Amsterdam,Grassland,juvenile,NA
VB121,U,Amsterdam,Food_forest,oribatid,132.11
VB121,U,Amsterdam,Food_forest,other,630.05
VB121,U,Amsterdam,Food_forest,juvenile,10.16
VB122,U,Amsterdam,Food_forest,oribatid,NA
VB122,U,Amsterdam,Food_forest,other,NA
VB122,U,Amsterdam,Food_forest,juvenile,NA
VB123,U,Amsterdam,Food_forest,oribatid,72.39
VB123,U,Amsterdam,Food_forest,other,272.54
VB123,U,Amsterdam,Food_forest,juvenile,0.00
VB124,U,Amsterdam,Food_forest,oribatid,NA
VB124,U,Amsterdam,Food_forest,other,NA
VB124,U,Amsterdam,Food_forest,juvenile,NA
VB125,U,Amsterdam,Food_forest,oribatid,118.27
VB125,U,Amsterdam,Food_forest,other,259.19
VB125,U,Amsterdam,Food_forest,juvenile,0.00
VB126,U,Amsterdam,Food_forest,oribatid,NA
VB126,U,Amsterdam,Food_forest,other,NA
VB126,U,Amsterdam,Food_forest,juvenile,NA
VB127,V,Amsterdam,Forest,oribatid,436.72
VB127,V,Amsterdam,Forest,other,210.76
VB127,V,Amsterdam,Forest,juvenile,26.07
VB128,V,Amsterdam,Forest,oribatid,NA
VB128,V,Amsterdam,Forest,other,NA
VB128,V,Amsterdam,Forest,juvenile,NA
VB129,V,Amsterdam,Forest,oribatid,150.64
VB129,V,Amsterdam,Forest,other,173.98
VB129,V,Amsterdam,Forest,juvenile,6.37
VB130,V,Amsterdam,Forest,oribatid,NA
VB130,V,Amsterdam,Forest,other,NA
VB130,V,Amsterdam,Forest,juvenile,NA
VB131,V,Amsterdam,Forest,oribatid,145.77
VB131,V,Amsterdam,Forest,other,150.47
VB131,V,Amsterdam,Forest,juvenile,42.32
VB132,V,Amsterdam,Forest,oribatid,NA
VB132,V,Amsterdam,Forest,other,NA
VB132,V,Amsterdam,Forest,juvenile,NA
VB133,W,Swalmen,Forest,oribatid,195.36
VB133,W,Swalmen,Forest,other,289.67
VB133,W,Swalmen,Forest,juvenile,43.79
VB134,W,Swalmen,Forest,oribatid,NA
VB134,W,Swalmen,Forest,other,NA
VB134,W,Swalmen,Forest,juvenile,NA
VB135,W,Swalmen,Forest,oribatid,180.60
VB135,W,Swalmen,Forest,other,274.09
VB135,W,Swalmen,Forest,juvenile,21.25
VB136,W,Swalmen,Forest,oribatid,NA
VB136,W,Swalmen,Forest,other,NA
VB136,W,Swalmen,Forest,juvenile,NA
VB137,W,Swalmen,Forest,oribatid,36.64
VB137,W,Swalmen,Forest,other,89.77
VB137,W,Swalmen,Forest,juvenile,31.15
VB138,W,Swalmen,Forest,oribatid,NA
VB138,W,Swalmen,Forest,other,NA
VB138,W,Swalmen,Forest,juvenile,NA
VB139,X,Swalmen,Grassland,oribatid,341.99
VB139,X,Swalmen,Grassland,other,380.75
VB139,X,Swalmen,Grassland,juvenile,11.40
VB140,X,Swalmen,Grassland,oribatid,NA
VB140,X,Swalmen,Grassland,other,NA
VB140,X,Swalmen,Grassland,juvenile,NA
VB141,X,Swalmen,Grassland,oribatid,331.17
VB141,X,Swalmen,Grassland,other,187.96
VB141,X,Swalmen,Grassland,juvenile,62.65
VB142,X,Swalmen,Grassland,oribatid,NA
VB142,X,Swalmen,Grassland,other,NA
VB142,X,Swalmen,Grassland,juvenile,NA
VB143,X,Swalmen,Grassland,oribatid,258.63
VB143,X,Swalmen,Grassland,other,308.92
VB143,X,Swalmen,Grassland,juvenile,40.71
VB144,X,Swalmen,Grassland,oribatid,NA
VB144,X,Swalmen,Grassland,other,NA
VB144,X,Swalmen,Grassland,juvenile,NA
VB145,Y,Swalmen,Food_forest,oribatid,618.46
VB145,Y,Swalmen,Food_forest,other,220.88
VB145,Y,Swalmen,Food_forest,juvenile,44.18
VB146,Y,Swalmen,Food_forest,oribatid,NA
VB146,Y,Swalmen,Food_forest,other,NA
VB146,Y,Swalmen,Food_forest,juvenile,NA
VB147,Y,Swalmen,Food_forest,oribatid,365.35
VB147,Y,Swalmen,Food_forest,other,447.63
VB147,Y,Swalmen,Food_forest,juvenile,92.16
VB148,Y,Swalmen,Food_forest,oribatid,NA
VB148,Y,Swalmen,Food_forest,other,NA
VB148,Y,Swalmen,Food_forest,juvenile,NA
VB149,Y,Swalmen,Food_forest,oribatid,62.44
VB149,Y,Swalmen,Food_forest,other,148.29
VB149,Y,Swalmen,Food_forest,juvenile,42.93
VB150,Y,Swalmen,Food_forest,oribatid,NA
VB150,Y,Swalmen,Food_forest,other,NA
VB150,Y,Swalmen,Food_forest,juvenile,NA
