session,location,landuse,trap,site
2,Rijswijk,Grassland,1,AH
2,Rijswijk,Grassland,2,AH
2,Rijswijk,Food_forest,1,AI
2,Rijswijk,Food_forest,2,AI
2,Haarzuilens,Forest,1,C
2,Haarzuilens,Forest,2,C
2,Haarzuilens,Grassland,1,B
2,Haarzuilens,Grassland,2,B
2,Haarzuilens,Food_forest,1,A
2,Haarzuilens,Food_forest,2,A
2,Malden,Arable_field,2,AV
2,Malden,Forest,1,AU
2,Malden,Forest,2,AU
2,Malden,Grassland,1,AS
2,Malden,Grassland,2,AS
2,Malden,Food_forest,1,AT
2,Malden,Food_forest,2,AT
2,Sint-Truiden,Arable_field,1,S
2,Sint-Truiden,Arable_field,2,S
2,Boelenslaan,Grassland,1,I
2,Boelenslaan,Grassland,2,I
2,Boelenslaan,Food_forest,1,H
2,Boelenslaan,Food_forest,2,H
2,Sint-Truiden,Forest,1,Q
2,Sint-Truiden,Forest,2,Q
2,Boelenslaan,Food_forest,1,J
2,Boelenslaan,Food_forest,2,J
2,Sint-Truiden,Grassland,1,R
2,Sint-Truiden,Grassland,2,R
2,Sint-Truiden,Food_forest,1,P
2,Sint-Truiden,Food_forest,2,P
2,Oostwaard,Grassland,1,AL
2,Oostwaard,Grassland,2,AL
2,Oostwaard,Food_forest,1,AN
2,Oostwaard,Food_forest,2,AN
2,Swalmen,Forest,2,W
2,Swalmen,Grassland,1,X
2,Swalmen,Grassland,2,X
2,Swalmen,Food_forest,1,Y
2,Swalmen,Food_forest,2,Y
2,Vlaardingen,Forest,1,E
2,Vlaardingen,Forest,2,E
2,Vlaardingen,Grassland,1,F
2,Vlaardingen,Grassland,2,F
2,Vlaardingen,Food_forest,1,G
2,Vlaardingen,Food_forest,2,G
2,Houthulst,Arable_field,1,AG
2,Houthulst,Arable_field,2,AG
2,Houthulst,Forest,1,AF
2,Houthulst,Forest,2,AF
2,Houthulst,Grassland,1,AE
2,Houthulst,Grassland,2,AE
2,Houthulst,Food_forest,1,AD
2,Houthulst,Food_forest,2,AD
3,Amsterdam,Forest,1,V
3,Amsterdam,Forest,2,V
3,Amsterdam,Grassland,1,T
3,Amsterdam,Grassland,2,T
3,Amsterdam,Food_forest,1,U
3,Amsterdam,Food_forest,2,U
3,Vaassen,Arable_field,1,AZ
3,Vaassen,Arable_field,2,AZ
3,Vaassen,Forest,1,AW
3,Vaassen,Forest,2,AW
3,Vaassen,Grassland,1,AY
3,Vaassen,Grassland,2,AY
3,Etten-Leur,Forest,1,AQ
3,Etten-Leur,Forest,2,AQ
3,Etten-Leur,Grassland,1,AP
3,Etten-Leur,Food_forest,1,AO
3,Etten-Leur,Food_forest,2,AO
3,Vaassen,Food_forest,1,AX
3,Vaassen,Food_forest,2,AX
3,Rijswijk,Arable_field,1,AJ
3,Rijswijk,Arable_field,2,AJ
3,Rijswijk,Forest,1,AK
3,Rijswijk,Forest,2,AK
3,Nevele,Arable_field,1,AA
3,Nevele,Arable_field,2,AA
3,Nevele,Forest,1,AB
3,Nevele,Forest,2,AB
3,Nevele,Food_forest,1,Z
3,Nevele,Food_forest,2,Z
3,Rijswijk,Grassland,1,AH
3,Rijswijk,Grassland,2,AH
3,Rijswijk,Food_forest,1,AI
3,Rijswijk,Food_forest,2,AI
3,Haarzuilens,Forest,1,C
3,Haarzuilens,Forest,2,C
3,Haarzuilens,Grassland,1,B
3,Haarzuilens,Grassland,2,B
3,Haarzuilens,Food_forest,1,A
3,Haarzuilens,Food_forest,2,A
3,Malden,Arable_field,1,AV
3,Malden,Arable_field,2,AV
3,Malden,Forest,1,AU
3,Malden,Forest,2,AU
3,Malden,Grassland,1,AS
3,Malden,Grassland,2,AS
3,Malden,Food_forest,1,AT
3,Malden,Food_forest,2,AT
3,Sint-Truiden,Arable_field,1,S
3,Sint-Truiden,Arable_field,2,S
3,Sint-Truiden,Forest,1,Q
3,Sint-Truiden,Forest,2,Q
3,Boelenslaan,Grassland,1,I
3,Boelenslaan,Grassland,2,I
3,Boelenslaan,Food_forest,1,J
3,Boelenslaan,Food_forest,2,J
3,Sint-Truiden,Grassland,1,R
3,Sint-Truiden,Grassland,2,R
3,Sint-Truiden,Food_forest,1,P
3,Sint-Truiden,Food_forest,2,P
3,Oostwaard,Forest,1,AM
3,Oostwaard,Forest,2,AM
3,Oostwaard,Grassland,1,AL
3,Oostwaard,Grassland,2,AL
3,Oostwaard,Food_forest,1,AN
3,Oostwaard,Food_forest,2,AN
3,Swalmen,Forest,1,W
3,Swalmen,Forest,2,W
3,Swalmen,Grassland,1,X
3,Swalmen,Grassland,2,X
3,Swalmen,Food_forest,1,Y
3,Swalmen,Food_forest,2,Y
3,Vlaardingen,Forest,1,E
3,Vlaardingen,Forest,2,E
3,Vlaardingen,Grassland,1,F
3,Vlaardingen,Grassland,2,F
3,Vlaardingen,Food_forest,1,G
3,Vlaardingen,Food_forest,2,G
3,Houthulst,Arable_field,1,AG
3,Houthulst,Arable_field,2,AG
3,Houthulst,Forest,1,AF
3,Houthulst,Forest,2,AF
3,Houthulst,Grassland,1,AE
3,Houthulst,Grassland,2,AE
3,Houthulst,Food_forest,1,AD
3,Houthulst,Food_forest,2,AD
4,Amsterdam,Forest,1,V
4,Amsterdam,Forest,2,V
4,Amsterdam,Food_forest,1,U
4,Amsterdam,Food_forest,2,U
4,Vaassen,Arable_field,1,AZ
4,Vaassen,Arable_field,2,AZ
4,Vaassen,Forest,1,AW
4,Vaassen,Forest,2,AW
4,Vaassen,Grassland,1,AY
4,Vaassen,Grassland,2,AY
4,Etten-Leur,Forest,1,AQ
4,Etten-Leur,Forest,2,AQ
4,Etten-Leur,Grassland,1,AP
4,Etten-Leur,Grassland,2,AP
4,Etten-Leur,Food_forest,1,AO
4,Etten-Leur,Food_forest,2,AO
4,Vaassen,Food_forest,1,AX
4,Vaassen,Food_forest,2,AX
4,Rijswijk,Arable_field,1,AJ
4,Rijswijk,Arable_field,2,AJ
4,Rijswijk,Forest,1,AK
4,Rijswijk,Forest,2,AK
4,Nevele,Arable_field,1,AA
4,Nevele,Arable_field,2,AA
4,Nevele,Forest,1,AB
4,Nevele,Food_forest,1,Z
4,Nevele,Food_forest,2,Z
4,Rijswijk,Grassland,1,AH
4,Rijswijk,Grassland,2,AH
4,Rijswijk,Food_forest,1,AI
4,Rijswijk,Food_forest,2,AI
4,Haarzuilens,Forest,1,C
4,Haarzuilens,Forest,2,C
4,Haarzuilens,Grassland,1,B
4,Haarzuilens,Grassland,2,B
4,Haarzuilens,Food_forest,1,A
4,Haarzuilens,Food_forest,2,A
4,Malden,Arable_field,2,AV
4,Malden,Forest,1,AU
4,Malden,Forest,2,AU
4,Malden,Grassland,1,AS
4,Malden,Grassland,2,AS
4,Malden,Food_forest,1,AT
4,Malden,Food_forest,2,AT
4,Sint-Truiden,Arable_field,1,S
4,Sint-Truiden,Arable_field,2,S
4,Sint-Truiden,Forest,2,Q
4,Sint-Truiden,Grassland,1,R
4,Sint-Truiden,Food_forest,2,P
4,Oostwaard,Forest,1,AM
4,Oostwaard,Forest,2,AM
4,Oostwaard,Grassland,1,AL
4,Oostwaard,Grassland,2,AL
4,Oostwaard,Food_forest,1,AN
4,Oostwaard,Food_forest,2,AN
4,Swalmen,Forest,1,W
4,Swalmen,Forest,2,W
4,Swalmen,Grassland,2,X
4,Swalmen,Food_forest,1,Y
4,Swalmen,Food_forest,2,Y
4,Vlaardingen,Forest,1,E
4,Vlaardingen,Forest,2,E
4,Vlaardingen,Grassland,1,F
4,Vlaardingen,Grassland,2,F
4,Vlaardingen,Food_forest,1,G
4,Vlaardingen,Food_forest,2,G
4,Houthulst,Arable_field,1,AG
4,Houthulst,Arable_field,2,AG
4,Houthulst,Forest,1,AF
4,Houthulst,Forest,2,AF
4,Houthulst,Grassland,1,AE
4,Houthulst,Grassland,2,AE
4,Houthulst,Food_forest,1,AD
4,Houthulst,Food_forest,2,AD
4,Sint-Truiden,Grassland,2,R
