code,site,location,landuse,species,abundance
VB088,O,Groesbeek,Food_forest,total,NA
VB089,O,Groesbeek,Food_forest,total,142.5661914
VB090,O,Groesbeek,Food_forest,total,NA
VB091,P,Sint-Truiden,Food_forest,total,234.2807109
VB092,P,Sint-Truiden,Food_forest,total,NA
VB093,P,Sint-Truiden,Food_forest,total,187.6591752
VB094,P,Sint-Truiden,Food_forest,total,NA
VB095,P,Sint-Truiden,Food_forest,total,213.477776
VB096,P,Sint-Truiden,Food_forest,total,NA
VB097,Q,Sint-Truiden,Forest,total,364.3461288
VB098,Q,Sint-Truiden,Forest,total,NA
VB099,Q,Sint-Truiden,Forest,total,702.8360049
VB100,Q,Sint-Truiden,Forest,total,NA
VB101,Q,Sint-Truiden,Forest,total,299.350466
VB102,Q,Sint-Truiden,Forest,total,NA
VB103,R,Sint-Truiden,Grassland,total,1197.915316
VB104,R,Sint-Truiden,Grassland,total,NA
VB105,R,Sint-Truiden,Grassland,total,419.2485775
VB106,R,Sint-Truiden,Grassland,total,NA
VB107,R,Sint-Truiden,Grassland,total,897.7955912
VB108,R,Sint-Truiden,Grassland,total,NA
VB109,S,Sint-Truiden,Arable_field,total,671.2176173
VB110,S,Sint-Truiden,Arable_field,total,NA
VB111,S,Sint-Truiden,Arable_field,total,86.45377425
VB112,S,Sint-Truiden,Arable_field,total,NA
VB113,S,Sint-Truiden,Arable_field,total,101.5835076
VB114,S,Sint-Truiden,Arable_field,total,NA
VB115,T,Amsterdam,Grassland,total,626.6021077
VB116,T,Amsterdam,Grassland,total,NA
VB117,T,Amsterdam,Grassland,total,673.8755681
VB118,T,Amsterdam,Grassland,total,NA
VB119,T,Amsterdam,Grassland,total,297.0447852
VB120,T,Amsterdam,Grassland,total,NA
VB121,U,Amsterdam,Food_forest,total,1067.018952
VB122,U,Amsterdam,Food_forest,total,NA
VB123,U,Amsterdam,Food_forest,total,604.6927565
VB124,U,Amsterdam,Food_forest,total,NA
VB125,U,Amsterdam,Food_forest,total,797.7050253
VB126,U,Amsterdam,Food_forest,total,NA
VB127,V,Amsterdam,Forest,total,243.3460076
VB128,V,Amsterdam,Forest,total,NA
VB129,V,Amsterdam,Forest,total,615.306274
VB130,V,Amsterdam,Forest,total,NA
VB131,V,Amsterdam,Forest,total,394.9874215
VB132,V,Amsterdam,Forest,total,NA
VB133,W,Swalmen,Forest,total,528.8153862
VB134,W,Swalmen,Forest,total,NA
VB135,W,Swalmen,Forest,total,293.211516
VB136,W,Swalmen,Forest,total,NA
VB137,W,Swalmen,Forest,total,131.9116192
VB138,W,Swalmen,Forest,total,NA
VB139,X,Swalmen,Grassland,total,449.1461663
VB140,X,Swalmen,Grassland,total,NA
VB141,X,Swalmen,Grassland,total,340.1157587
VB142,X,Swalmen,Grassland,total,NA
VB143,X,Swalmen,Grassland,total,648.9774414
VB144,X,Swalmen,Grassland,total,NA
VB145,Y,Swalmen,Food_forest,total,127.005163
VB146,Y,Swalmen,Food_forest,total,NA
VB147,Y,Swalmen,Food_forest,total,727.4043842
VB148,Y,Swalmen,Food_forest,total,NA
VB149,Y,Swalmen,Food_forest,total,206.8211972
VB150,Y,Swalmen,Food_forest,total,NA
